filename	onset	offset	event_label
10.wav	6.685	8.667	AMCR
100.wav	0.566	1.292	REVI
100.wav	1.324	2.173	BCCH
100.wav	2.465	3.256	BCCH
100.wav	4.371	10.000	AMCR
1000.wav	8.690	10.000	TUTI
1000.wav	5.447	5.857	BHVI
1000.wav	4.946	7.513	EATO
1000.wav	2.833	4.050	EATO
1000.wav	2.587	3.020	BTNW
1000.wav	3.458	4.356	NOCA
1000.wav	1.334	1.877	EATO
1001.wav	4.164	5.201	BHVI
1001.wav	0.363	1.323	BHVI
1001.wav	1.293	1.725	BTNW
1002.wav	3.655	4.215	WOTH
1002.wav	5.673	6.669	EATO
1002.wav	9.037	9.690	BHVI
1002.wav	2.090	2.522	BTNW
1002.wav	0.723	1.997	EATO
1002.wav	2.920	5.168	TUTI
1003.wav	9.127	10.000	BTNW
1003.wav	1.748	3.132	EATO
1003.wav	2.056	2.773	BHVI
1003.wav	3.499	3.956	HETH
1003.wav	0.348	1.289	EATO
1003.wav	5.656	6.363	TUTI
1004.wav	1.624	3.410	BHVI
1004.wav	1.981	4.410	NOCA
1004.wav	5.379	6.058	BHVI
1004.wav	5.384	5.926	EATO
1004.wav	7.928	8.440	BHVI
1004.wav	8.646	9.093	HETH
1005.wav	9.053	9.745	BTNW
1005.wav	3.772	4.490	BHVI
1005.wav	1.589	2.021	BTNW
1007.wav	9.688	10.000	HETH
1007.wav	2.472	4.717	NOCA
1007.wav	0.550	2.309	OVEN
1007.wav	1.168	2.442	EATO
1007.wav	7.396	8.716	BTNW
1007.wav	7.988	8.910	BHVI
1008.wav	5.616	7.249	BHVI
1008.wav	4.779	5.237	BTNW
1008.wav	2.486	2.757	EATO
1008.wav	1.133	2.480	NOCA
1009.wav	7.339	8.613	EATO
1009.wav	7.075	7.721	TUTI
1009.wav	5.796	6.372	HETH
1009.wav	5.358	10.000	NOCA
1009.wav	2.086	3.311	NOCA
1009.wav	1.845	3.119	EATO
1009.wav	3.596	4.006	BHVI
1009.wav	0.165	0.882	BHVI
101.wav	3.684	5.522	OVEN
101.wav	7.944	10.000	AMCR
101.wav	7.943	9.331	NOCA
1010.wav	1.155	1.873	BHVI
1011.wav	0.653	1.851	HETH
1011.wav	2.761	3.721	BHVI
1011.wav	3.782	5.056	EATO
1011.wav	0.130	0.647	BHCO
1011.wav	4.819	5.434	BHVI
1012.wav	9.648	10.000	EATO
1012.wav	3.773	5.047	EATO
1012.wav	0.505	2.983	NOCA
1012.wav	0.349	0.913	BHVI
1012.wav	9.380	10.000	BCCH
1013.wav	0.042	0.759	BHVI
1013.wav	8.594	9.128	BHVI
1014.wav	0.285	1.069	HETH
1014.wav	9.566	10.000	EATO
1014.wav	8.576	9.044	NOCA
1014.wav	5.784	6.897	BHVI
1014.wav	5.598	5.930	BLJA
1014.wav	5.464	6.091	BTNW
1014.wav	3.518	4.107	BTNW
1014.wav	3.144	3.687	EATO
1015.wav	6.476	8.263	BHVI
1016.wav	8.034	8.571	BHVI
1016.wav	1.780	2.577	BHVI
1016.wav	0.171	3.069	NOCA
1016.wav	0.895	1.613	BHVI
1016.wav	2.512	3.283	COYE
1017.wav	0.980	1.791	BHVI
1017.wav	9.318	10.000	EATO
1017.wav	3.060	3.572	BHVI
1017.wav	2.992	4.265	EATO
1017.wav	2.283	2.768	BHVI
1018.wav	3.702	4.606	HETH
1018.wav	6.926	8.658	BAWW
1018.wav	0.113	1.648	BTNW
1018.wav	0.492	4.428	NOCA
1018.wav	2.686	3.185	BHVI
1018.wav	3.936	4.877	EATO
1018.wav	7.159	8.119	BHVI
1018.wav	7.090	8.537	EATO
1019.wav	7.482	8.251	EATO
1019.wav	5.819	8.218	BHVI
1019.wav	4.479	7.048	TUTI
1019.wav	3.871	8.808	AMCR
1019.wav	6.691	7.175	WOTH
102.wav	4.572	6.122	KEWA
102.wav	4.121	10.000	AMCR
1020.wav	0.835	1.424	BTNW
1020.wav	2.042	4.290	TUTI
1020.wav	2.206	3.505	NOCA
1020.wav	3.762	7.698	NOCA
1020.wav	6.521	7.443	BHVI
1020.wav	9.291	10.000	EATO
1021.wav	4.880	5.140	BTNW
1021.wav	3.843	4.356	BHVI
1021.wav	0.870	1.302	BTNW
1021.wav	1.468	2.517	HETH
1022.wav	4.407	6.494	OVEN
1022.wav	5.214	7.103	BHVI
1022.wav	6.494	10.000	TUTI
1022.wav	7.462	9.090	EATO
1023.wav	0.139	1.337	HETH
1023.wav	1.279	2.810	BHVI
1023.wav	4.211	6.891	NOCA
1023.wav	5.273	6.314	EATO
1023.wav	7.256	7.506	BHVI
1023.wav	9.543	10.000	EATO
1023.wav	0.548	1.678	EATO
1024.wav	4.105	4.754	BTNW
1024.wav	7.773	8.311	BHVI
1025.wav	5.619	6.893	EATO
1025.wav	1.362	1.942	BHVI
1025.wav	1.096	2.724	EATO
1026.wav	8.633	8.966	EATO
1026.wav	1.932	2.251	BHVI
1026.wav	3.536	3.867	BLJA
1026.wav	4.121	4.454	EATO
1026.wav	1.028	1.680	BHVI
1027.wav	0.669	1.208	RBWO
1027.wav	1.241	2.842	BHVI
1027.wav	2.564	4.853	NOCA
1027.wav	2.949	4.571	AMCR
1027.wav	5.423	7.802	NOCA
1027.wav	5.518	6.632	BHVI
1027.wav	6.625	9.194	TUTI
1027.wav	7.535	8.620	EATO
1027.wav	8.830	9.367	BHVI
1028.wav	4.350	6.187	NOCA
1028.wav	0.121	1.545	OVEN
1028.wav	9.316	9.859	EATO
1028.wav	9.281	10.000	HETH
1028.wav	6.831	7.368	BHVI
1028.wav	6.569	8.656	OVEN
1028.wav	5.392	5.651	BHCO
1028.wav	1.241	2.192	BHVI
1028.wav	4.560	5.851	EATO
1029.wav	0.039	0.581	EATO
1029.wav	8.897	9.229	EATO
1029.wav	5.528	6.205	TUTI
1029.wav	4.673	5.365	BTNW
1029.wav	3.618	3.994	BHVI
1029.wav	1.601	2.561	BHVI
103.wav	1.278	2.278	BCCH
103.wav	4.545	9.597	AMCR
103.wav	0.044	0.477	BTNW
1030.wav	4.252	4.790	BHVI
1031.wav	3.323	4.715	AMCR
1031.wav	9.422	9.965	EATO
1031.wav	3.752	5.420	EATO
1031.wav	7.332	9.263	BHVI
1031.wav	5.862	7.191	EATO
1031.wav	0.374	1.703	EATO
1031.wav	2.628	5.197	TUTI
1032.wav	8.348	10.000	BHVI
1033.wav	1.873	3.183	BHVI
1033.wav	3.769	4.809	EATO
1033.wav	5.744	7.345	BHVI
1033.wav	6.074	6.823	TUTI
1033.wav	0.090	0.409	BHVI
1033.wav	1.301	1.572	EATO
1033.wav	9.230	9.582	BHCO
1033.wav	9.590	10.000	BAWW
1033.wav	3.240	4.138	HETH
1034.wav	9.598	10.000	BHVI
1034.wav	4.093	4.550	BTNW
1035.wav	3.817	5.563	BHVI
1036.wav	8.931	10.000	NOCA
1036.wav	5.431	5.750	BHVI
1037.wav	1.685	2.223	BHVI
1037.wav	9.340	10.000	HETH
1038.wav	3.810	4.708	NOCA
1038.wav	6.019	7.311	EATO
1038.wav	8.106	9.047	EATO
1038.wav	8.685	9.150	BHVI
1039.wav	3.055	4.103	HETH
1039.wav	7.485	9.373	BHVI
1039.wav	9.582	10.000	BHVI
1039.wav	1.808	2.500	BTNW
1039.wav	4.870	6.162	EATO
104.wav	3.297	4.296	BCCH
104.wav	0.483	1.875	AMCR
104.wav	5.709	9.712	AMCR
104.wav	1.695	2.571	AMRE
104.wav	3.843	5.162	BTNW
1041.wav	9.536	10.000	BHVI
1041.wav	7.862	8.471	EATO
1041.wav	1.156	2.436	OVEN
1041.wav	8.165	8.472	BHVI
1041.wav	0.152	4.220	TUTI
1041.wav	6.211	7.958	BHVI
1041.wav	4.858	5.401	EATO
1041.wav	3.954	4.534	BHVI
1042.wav	0.597	1.082	BHVI
1042.wav	3.171	4.706	BTNW
1042.wav	9.156	10.000	BHVI
1042.wav	5.904	6.425	BHVI
1043.wav	1.528	2.142	BHVI
1044.wav	9.184	10.000	BHVI
1045.wav	9.041	10.000	TUTI
1045.wav	8.356	9.891	BTNW
1045.wav	7.841	9.587	BHVI
1045.wav	4.062	6.144	NOCA
1045.wav	0.555	2.239	WOTH
1045.wav	6.452	7.116	HETH
1046.wav	6.064	6.314	BHVI
1046.wav	5.108	5.368	BTNW
1046.wav	4.594	5.072	BHVI
1046.wav	3.954	5.115	HETH
1046.wav	3.650	4.941	EATO
1046.wav	2.020	3.238	EATO
1046.wav	1.296	1.850	NOCA
1046.wav	9.458	10.000	HETH
1047.wav	1.779	2.432	BHVI
1048.wav	6.816	7.249	BTNW
1048.wav	6.296	7.256	BHVI
1048.wav	7.482	7.741	BTNW
1048.wav	4.418	5.504	EATO
1048.wav	4.267	4.946	BHVI
1049.wav	5.534	6.283	TUTI
1049.wav	9.033	10.000	BHVI
1049.wav	0.839	1.607	EATO
1049.wav	3.863	9.893	NOCA
105.wav	2.371	2.642	EATO
105.wav	4.423	4.694	EATO
105.wav	9.715	10.000	AMRE
105.wav	9.540	10.000	COYE
105.wav	7.916	8.187	EATO
105.wav	0.024	1.737	TUTI
105.wav	9.580	9.972	WOTH
105.wav	0.084	1.268	AMRE
105.wav	7.079	8.078	BCCH
105.wav	1.043	3.025	AMCR
1050.wav	0.678	1.447	EATO
1050.wav	8.373	8.916	EATO
1050.wav	0.131	0.430	BLJA
1051.wav	8.716	9.934	EATO
1051.wav	6.890	7.293	BLJA
1052.wav	0.475	1.535	BLJA
1053.wav	1.745	2.860	EATO
1053.wav	8.186	8.684	BLJA
1053.wav	6.164	7.792	EATO
1053.wav	4.263	6.285	BAWW
1054.wav	6.080	7.141	BLJA
1054.wav	9.589	10.000	EATO
1054.wav	1.358	1.901	EATO
1054.wav	7.338	7.670	EATO
1054.wav	8.062	8.710	BTNW
1054.wav	3.496	4.953	BCCH
1055.wav	9.010	9.438	BLJA
1055.wav	9.732	10.000	BLJA
1055.wav	7.713	8.111	BLJA
1055.wav	4.071	5.068	EATO
1055.wav	3.501	3.800	BLJA
1055.wav	0.112	1.740	EATO
1056.wav	5.964	7.256	EATO
1056.wav	8.943	9.341	BLJA
1056.wav	4.908	5.305	REVI
1056.wav	3.062	4.725	AMCR
1056.wav	8.518	9.736	EATO
1057.wav	5.985	7.442	BCCH
1057.wav	5.473	6.082	EATO
1057.wav	2.295	2.769	REVI
1057.wav	7.923	9.197	EATO
1057.wav	2.601	3.563	BLJA
1057.wav	0.177	0.675	BLJA
1057.wav	3.805	5.178	BLJA
1057.wav	4.332	4.765	BTNW
1058.wav	3.062	3.393	BLJA
1058.wav	6.887	7.219	BLJA
1059.wav	4.989	5.745	COYE
1059.wav	2.026	2.358	BLJA
1059.wav	2.425	2.757	EATO
1059.wav	4.946	6.409	BLJA
1059.wav	0.652	2.450	NOCA
1059.wav	0.091	1.861	BLJA
106.wav	1.709	10.000	AMCR
106.wav	0.261	1.301	EATO
1060.wav	0.027	1.068	EATO
1060.wav	4.793	5.125	BLJA
1060.wav	5.438	5.981	EATO
1060.wav	5.609	6.574	BCCH
1060.wav	8.333	8.875	EATO
1061.wav	5.367	5.864	BLJA
1061.wav	4.168	4.500	BLJA
1062.wav	8.632	9.629	EATO
1062.wav	6.321	8.220	EATO
1062.wav	6.040	8.887	AMCR
1062.wav	4.421	5.681	BLJA
1062.wav	3.470	3.868	BLJA
1062.wav	2.170	2.791	COYE
1062.wav	7.700	9.072	BLJA
1063.wav	9.412	10.000	EATO
1063.wav	7.307	7.578	EATO
1063.wav	7.704	8.050	WOTH
1063.wav	1.822	2.254	BLJA
1064.wav	5.068	6.441	BLJA
1065.wav	0.339	0.671	BLJA
1065.wav	1.966	3.764	EATO
1065.wav	8.854	9.777	BLJA
1065.wav	8.220	8.623	BLJA
1065.wav	3.297	3.699	BLJA
1065.wav	7.304	8.390	EATO
1065.wav	8.194	9.672	KEWA
1066.wav	6.368	7.697	EATO
1066.wav	1.393	1.725	BLJA
1068.wav	0.957	2.675	SCTA
1068.wav	6.693	8.630	KEWA
1068.wav	8.250	9.247	EATO
1068.wav	8.606	9.035	BLJA
1068.wav	3.701	10.000	AMCR
1068.wav	6.573	7.846	EATO
1068.wav	0.093	1.154	BLJA
1068.wav	4.159	5.289	EATO
1069.wav	1.344	1.642	BLJA
1069.wav	7.156	9.210	EATO
1069.wav	4.998	6.327	EATO
1069.wav	4.275	5.792	BAWW
1069.wav	2.231	3.505	EATO
1069.wav	0.659	1.430	COYE
1069.wav	1.954	3.161	BLJA
107.wav	9.569	10.000	AMCR
107.wav	9.082	10.000	BCCH
107.wav	8.148	9.043	BGGN
107.wav	7.382	8.839	BCCH
107.wav	6.754	7.947	AMRE
107.wav	6.829	7.869	EATO
107.wav	6.384	6.763	REVI
107.wav	4.882	5.160	REVI
107.wav	2.552	3.285	BCCH
107.wav	0.562	1.849	SCTA
1070.wav	9.462	9.794	BLJA
1070.wav	0.568	1.992	COYE
1070.wav	6.287	7.370	BCCH
1070.wav	4.788	5.186	BLJA
1070.wav	3.903	4.335	BLJA
1070.wav	2.444	3.736	EATO
1071.wav	9.492	10.000	NOCA
1071.wav	8.647	10.000	BLJA
1071.wav	6.179	6.722	EATO
1071.wav	5.087	5.419	BLJA
1071.wav	7.853	8.124	EATO
1071.wav	0.852	2.162	BLJA
1072.wav	0.195	0.804	EATO
1072.wav	1.057	1.619	BLJA
1072.wav	6.798	8.127	EATO
1072.wav	8.292	10.000	EATO
1073.wav	0.412	0.884	BLJA
1073.wav	5.466	5.939	BLJA
1073.wav	8.209	8.611	BLJA
1074.wav	0.755	1.682	BCCH
1074.wav	9.440	9.913	BLJA
1074.wav	7.250	8.413	EATO
1074.wav	6.473	7.534	BLJA
1074.wav	5.869	6.590	AMRE
1074.wav	2.846	3.264	BLJA
1074.wav	1.869	2.810	EATO
1075.wav	0.989	1.387	BLJA
1075.wav	2.064	2.496	BLJA
1075.wav	7.715	8.170	BLJA
1076.wav	4.183	5.069	BLJA
1076.wav	8.261	8.593	BLJA
1076.wav	2.833	3.331	BLJA
1076.wav	8.991	9.933	BLJA
1076.wav	8.953	10.000	EATO
1076.wav	5.273	6.352	BLJA
1077.wav	2.795	3.193	BLJA
1077.wav	1.069	1.501	BLJA
1077.wav	8.499	9.977	KEWA
1077.wav	8.410	10.000	AMCR
1078.wav	8.909	9.508	WOTH
1078.wav	7.833	9.401	BLJA
1078.wav	6.761	9.603	EATO
1078.wav	5.616	6.159	EATO
1078.wav	0.887	1.505	BLJA
1078.wav	2.112	2.511	BLJA
1079.wav	2.593	2.991	BLJA
108.wav	3.566	6.044	NOCA
108.wav	9.195	10.000	AMCR
108.wav	7.373	8.706	BCCH
108.wav	7.299	7.763	BHCO
108.wav	4.152	5.193	BCCH
108.wav	3.607	4.789	KEWA
108.wav	7.929	8.321	RBWO
108.wav	8.042	8.652	EATO
108.wav	0.624	1.623	BCCH
1080.wav	2.772	3.315	EATO
1080.wav	2.769	3.224	BLJA
1081.wav	4.989	5.310	BHCO
1081.wav	4.269	5.705	EATO
1081.wav	6.178	6.740	BLJA
1081.wav	7.238	7.570	BLJA
1081.wav	8.009	9.282	EATO
1081.wav	8.850	9.148	BLJA
1081.wav	3.354	5.041	COYE
1082.wav	6.725	7.998	EATO
1082.wav	3.494	4.056	BLJA
1082.wav	2.514	4.844	NOCA
1082.wav	1.190	2.701	EATO
1082.wav	0.835	1.397	BLJA
1082.wav	0.614	0.886	EATO
1082.wav	8.813	10.000	EATO
1083.wav	0.647	1.045	BLJA
1083.wav	7.756	10.000	AMCR
1083.wav	3.758	4.213	BLJA
1084.wav	8.488	9.031	EATO
1084.wav	9.681	10.000	EATO
1084.wav	7.552	9.057	COYE
1084.wav	0.082	1.356	EATO
1084.wav	6.380	8.006	EATO
1084.wav	3.340	4.558	EATO
1084.wav	2.157	2.687	BLJA
1084.wav	7.488	8.861	BLJA
1085.wav	5.986	6.317	BLJA
1085.wav	8.127	8.570	REVI
1085.wav	7.210	8.271	BLJA
1085.wav	3.611	5.088	KEWA
1085.wav	0.627	1.623	EATO
1085.wav	9.065	9.520	BLJA
1085.wav	3.048	3.990	EATO
1086.wav	6.758	7.274	REVI
1086.wav	8.587	9.648	BLJA
1086.wav	8.812	10.000	EATO
1087.wav	9.481	9.866	BLJA
1087.wav	4.870	7.537	EATO
1087.wav	6.356	10.000	AMCR
1088.wav	9.373	9.623	REVI
1088.wav	9.312	9.710	BLJA
1088.wav	7.060	8.444	EATO
1088.wav	5.175	6.449	EATO
1088.wav	2.783	4.411	EATO
1088.wav	2.456	2.954	BLJA
1088.wav	0.098	0.660	BLJA
1089.wav	0.214	0.983	EATO
1089.wav	3.103	4.413	BLJA
1089.wav	5.164	6.268	COYE
1089.wav	6.860	8.224	BLJA
1089.wav	7.314	7.585	EATO
109.wav	3.679	6.945	AMCR
109.wav	5.310	6.476	WOTH
1090.wav	6.363	6.765	BLJA
1090.wav	5.017	5.419	BLJA
1090.wav	4.290	4.692	BLJA
1090.wav	2.639	3.096	BTNW
1090.wav	6.477	8.425	EATO
1091.wav	0.165	0.839	SCTA
1091.wav	3.872	4.327	BLJA
1091.wav	8.254	8.727	BLJA
1091.wav	1.619	2.017	BLJA
1092.wav	0.415	0.747	BLJA
1092.wav	1.558	3.293	EATO
1092.wav	5.988	8.467	NOCA
1092.wav	0.412	0.885	REVI
1092.wav	7.576	9.255	OVEN
1092.wav	8.303	9.300	EATO
1092.wav	9.605	10.000	EATO
1092.wav	8.714	9.046	BLJA
1093.wav	0.140	0.538	BLJA
1093.wav	9.391	9.663	EATO
1094.wav	5.035	6.096	BLJA
1094.wav	8.115	8.447	BLJA
1094.wav	8.874	9.329	BLJA
1094.wav	9.095	10.000	EATO
1094.wav	0.364	1.536	BHCO
1095.wav	5.006	6.003	EATO
1095.wav	9.655	10.000	OVEN
1095.wav	8.639	9.913	EATO
1095.wav	7.920	8.276	REVI
1095.wav	6.716	8.089	BLJA
1096.wav	7.403	7.901	BLJA
1097.wav	0.756	1.817	BLJA
1097.wav	0.768	1.100	EATO
1097.wav	6.667	7.229	BLJA
1097.wav	2.301	3.298	EATO
1098.wav	0.659	2.046	BLJA
1098.wav	3.477	6.327	EATO
1098.wav	5.511	6.267	OVEN
1098.wav	5.634	6.871	SCTA
1098.wav	0.296	2.196	EATO
1098.wav	8.625	9.097	BLJA
1099.wav	0.016	1.102	EATO
1099.wav	7.981	9.021	EATO
1099.wav	5.951	7.579	EATO
1099.wav	1.934	2.337	BLJA
1099.wav	8.097	8.496	BLJA
11.wav	2.159	6.988	AMCR
110.wav	2.415	4.037	AMCR
1100.wav	6.996	8.082	EATO
1100.wav	6.894	7.367	BLJA
1100.wav	8.381	8.923	EATO
1101.wav	8.193	8.596	BLJA
1102.wav	7.375	10.000	BLJA
1102.wav	4.611	6.137	AMCR
1103.wav	9.392	9.954	BLJA
1104.wav	0.060	0.515	BLJA
1104.wav	3.614	5.242	EATO
1104.wav	4.623	6.078	COYE
1104.wav	7.582	8.257	BLJA
1104.wav	1.610	3.058	EATO
1104.wav	0.898	1.966	COYE
1105.wav	6.088	7.051	BLJA
1105.wav	7.494	8.479	BLJA
1105.wav	0.998	1.396	BLJA
1105.wav	4.530	5.616	EATO
1105.wav	7.833	9.645	EATO
1105.wav	9.019	9.517	BLJA
1106.wav	5.116	5.547	BLJA
1107.wav	8.281	9.277	EATO
1107.wav	0.419	0.750	BLJA
1107.wav	6.245	7.618	BLJA
1107.wav	2.069	3.154	EATO
1108.wav	5.881	6.279	BLJA
1108.wav	8.059	8.957	NOCA
1109.wav	1.449	2.411	BLJA
1110.wav	3.479	3.798	BHVI
1110.wav	0.397	1.166	EATO
1110.wav	7.050	7.435	BLJA
1110.wav	8.368	9.659	EATO
1110.wav	8.439	8.824	BLJA
1111.wav	8.358	9.463	COYE
1111.wav	5.754	6.227	BLJA
1111.wav	1.478	3.399	EATO
1111.wav	3.828	4.888	BLJA
1112.wav	0.564	1.856	EATO
1112.wav	0.951	2.584	BHVI
1112.wav	5.522	6.583	BLJA
1112.wav	6.138	7.224	EATO
1112.wav	9.388	10.000	OVEN
1113.wav	4.726	6.018	EATO
1113.wav	1.526	1.858	BLJA
1113.wav	1.263	2.980	SCTA
1113.wav	8.377	9.438	BLJA
1113.wav	0.153	1.426	EATO
1113.wav	3.234	3.777	EATO
1113.wav	3.460	4.423	BLJA
1114.wav	8.313	9.082	EATO
1114.wav	8.815	9.664	BCCH
1114.wav	8.205	8.636	BLJA
1114.wav	9.723	10.000	EATO
1115.wav	2.906	3.828	AMRE
1115.wav	5.163	6.775	EATO
1115.wav	0.249	2.472	COYE
1115.wav	0.113	0.611	BLJA
1115.wav	2.127	3.090	BLJA
1115.wav	8.594	9.714	EATO
1116.wav	7.651	8.149	BLJA
1116.wav	0.279	2.769	EATO
1116.wav	4.748	5.146	BLJA
1116.wav	2.066	2.897	BLJA
1116.wav	0.623	1.121	BLJA
1117.wav	2.935	3.928	BLJA
1117.wav	9.170	10.000	EATO
1117.wav	6.203	7.650	EATO
1117.wav	5.234	5.899	BLJA
1117.wav	2.869	3.412	EATO
1117.wav	0.205	1.479	EATO
1117.wav	0.039	0.437	BLJA
1118.wav	8.030	8.329	BLJA
1119.wav	5.957	6.360	BLJA
112.wav	1.981	3.506	AMCR
112.wav	3.901	5.031	EATO
1120.wav	3.982	4.338	REVI
1120.wav	8.165	9.494	EATO
1120.wav	7.126	8.088	BLJA
1121.wav	0.309	2.376	EATO
1121.wav	9.469	9.740	EATO
1121.wav	1.253	1.585	BLJA
1121.wav	7.646	8.777	EATO
1121.wav	8.848	9.810	BLJA
1121.wav	2.044	6.873	AMCR
1121.wav	7.061	8.122	BLJA
1122.wav	6.663	8.291	EATO
1122.wav	6.423	7.068	COYE
1122.wav	5.731	6.204	BLJA
1122.wav	6.961	8.816	SCTA
1122.wav	3.758	4.057	BLJA
1122.wav	1.710	2.463	BLJA
1122.wav	8.880	9.852	WOTH
1122.wav	0.546	1.838	EATO
1123.wav	5.317	6.279	BLJA
1124.wav	0.641	0.940	BLJA
1124.wav	1.017	1.480	REVI
1125.wav	7.758	8.320	BLJA
1126.wav	1.837	2.606	EATO
1126.wav	3.922	4.324	BLJA
1126.wav	0.116	0.659	EATO
1127.wav	8.517	8.990	BLJA
1128.wav	0.878	6.543	AMCR
1128.wav	9.491	10.000	COYE
1128.wav	1.930	2.586	BCCH
1128.wav	7.544	8.041	BLJA
1128.wav	6.344	6.841	BLJA
1128.wav	3.702	4.101	BLJA
1128.wav	4.491	4.890	BLJA
1128.wav	7.976	8.972	EATO
1128.wav	5.507	6.275	EATO
1128.wav	5.534	5.919	BLJA
1129.wav	0.288	1.736	EATO
1129.wav	5.066	6.152	EATO
1129.wav	6.374	6.777	BLJA
1129.wav	0.108	0.925	BLJA
1129.wav	8.892	9.411	BLJA
1129.wav	5.256	5.753	BLJA
1129.wav	9.478	10.000	EATO
113.wav	5.030	10.000	AMCR
113.wav	8.326	8.800	REVI
113.wav	0.406	1.162	COYE
113.wav	2.236	4.470	AMCR
113.wav	4.402	5.472	TUTI
113.wav	8.665	10.000	EATO
1130.wav	1.757	2.212	BLJA
1130.wav	2.934	3.337	BLJA
1130.wav	5.849	6.252	BLJA
1131.wav	7.954	8.610	BCCH
1131.wav	1.683	2.330	BLJA
1131.wav	4.216	5.894	EATO
1131.wav	8.749	10.000	EATO
1131.wav	6.225	6.624	BLJA
1131.wav	7.018	7.446	BLJA
1131.wav	1.111	2.403	EATO
1132.wav	9.741	10.000	BLJA
1133.wav	7.286	7.688	BLJA
1134.wav	2.835	3.290	BLJA
1134.wav	7.857	8.510	BHVI
1134.wav	0.157	0.489	BLJA
1134.wav	3.377	5.921	EATO
1134.wav	5.384	5.856	BLJA
1134.wav	6.639	8.023	EATO
1135.wav	7.574	7.906	BLJA
1135.wav	8.449	9.760	BLJA
1136.wav	2.625	3.899	EATO
1136.wav	9.228	9.560	BLJA
1137.wav	5.997	6.395	BLJA
1137.wav	3.876	6.466	EATO
1137.wav	2.978	3.539	BLJA
1138.wav	3.950	4.492	EATO
1138.wav	0.828	1.301	BLJA
1138.wav	6.991	7.323	BLJA
1138.wav	2.195	2.580	BLJA
1139.wav	3.005	3.797	BCCH
1139.wav	4.088	4.585	BLJA
1139.wav	8.190	9.153	BLJA
1139.wav	6.495	7.769	EATO
114.wav	6.530	7.862	BCCH
114.wav	5.208	6.829	AMCR
114.wav	4.381	5.293	COYE
114.wav	0.334	3.877	AMCR
1140.wav	2.536	3.983	EATO
1140.wav	8.998	9.426	BLJA
1140.wav	1.863	2.162	BLJA
1141.wav	4.592	5.345	EATO
1141.wav	5.374	6.363	BLJA
1141.wav	8.961	9.393	BLJA
1141.wav	7.071	9.453	EATO
1141.wav	1.674	2.059	BLJA
1141.wav	3.983	4.368	BLJA
1142.wav	3.997	4.766	EATO
1142.wav	1.323	2.707	EATO
1142.wav	7.280	7.753	BLJA
1143.wav	7.192	8.565	BLJA
1143.wav	0.302	0.704	BLJA
1143.wav	1.901	2.510	EATO
1143.wav	7.506	8.637	EATO
1143.wav	9.548	9.950	BLJA
1144.wav	7.779	8.276	BLJA
1145.wav	7.287	7.759	BLJA
1146.wav	0.308	0.640	BLJA
1146.wav	1.887	3.179	EATO
1147.wav	6.322	6.621	BLJA
1148.wav	2.404	3.777	BLJA
1149.wav	0.328	0.730	BLJA
1149.wav	3.815	4.270	BLJA
1149.wav	1.080	6.398	EATO
1149.wav	6.296	7.478	KEWA
115.wav	1.730	8.109	AMCR
1150.wav	2.682	3.309	BTNW
1150.wav	3.354	3.686	BLJA
1150.wav	6.232	6.730	BLJA
1150.wav	7.664	8.704	EATO
1150.wav	4.768	5.266	BLJA
1150.wav	4.098	5.427	EATO
1150.wav	8.979	10.000	EATO
